X Field,X軸欄位
{0} {1} created,{0} {1} 已創建
{0} {1} not in any active Fiscal Year.,{0} {1} 未在任一生效財年中。
{0} {1} is not active,{0} {1} 未生效
{0} {1}: Account {2} is inactive,{0} {1}: 科目{2}無效
{0} {1} does not exist,{0} {1}不存在
{0} {1} does not exist.,{0} {1}不存在。
"{0} {1} does not exist, select a new target to merge",{0} {1}不存在，選擇一個新的目標合併
"{0} {1} cannot be ""{2}"". It should be one of ""{3}""",{0} {1}不能為“{2}”。只能是“{3}”其中一個
{0} ({1}) cannot be greater than planned quanitity ({2}) in Production Order {3},{0} {1}不能大於生產訂單{3}的計劃數量({2})
{0} {1} cannot be a leaf node as it has children,{0} {1}不能是一個葉節點，因為它有下級
{0} {1} is not associated with {2} {3},{0} {1}與{2} {3}無關
"{0} {1} is associated with {2}, but Party Account is {3}",{0} {1}與{2}相關聯，但業務伙伴科目為{3}
{0} {1}: Accounting Entry for {2} can only be made in currency: {3},{0} {1}在{2}會計分錄只能用貨幣單位：{3}
{0} units of {1} needed in {2} on {3} {4} for {5} to complete this transaction.,本單據 {5} 記帳時間點 {3} {4} 發料倉 {2} 物料 {1} 庫存不足 {0}。
{0} {1} has not been submitted so the action cannot be completed,{0} {1}尚未提交，因此無法完成此操作
{0} {1} is disabled,{0} {1}已禁用
{0} {1} is frozen,{0} {1}已凍結
{0} {1} is fully billed,{0} {1}已完全開票
{0} {1} already exists,{0} {1}已經存在
{0} {1} has been modified. Please refresh.,{0} {1}已被修改過，請刷新。
{0} {1} is cancelled so the action cannot be completed,{0} {1}已被取消，因此操作無法完成
{0} {1} must be submitted,{0} {1}必須提交
{0} {1} is {2},{0} {1}是{2}
{0} {1} not found,{0} {1}未找到
{0} {1} is not submitted,{0} {1}未提交
Assignment for {0} {1},{0} {1}的分派
{0} {1} status is {2},{0} {1}的狀態為{2}
{0} {1}: Account {2} does not belong to Company {3},{0} {1}科目{2}不屬於公司{3}
{0} {1}: Account {2} cannot be a Group,{0} {1}科目{2}不能是一個組
{0} {1} is cancelled or stopped,{0} {1}被取消或停止
{0} {1} is cancelled or closed,{0} {1}被取消或關閉
{0} {1}: 'Profit and Loss' type account {2} not allowed in Opening Entry,{0} {1}：“損益”科目類型{2}不允許開帳憑證
{0} {1}: Either debit or credit amount is required for {2},{0} {1}：請為 {2} 輸入借方或貸方
{0} {1}: Customer is required against Receivable account {2},{0} {1}：應收帳款科目{2}客戶資訊必填
{0} {1}: Supplier is required against Payable account {2},{0} {1}：應付帳款科目{2}供應商資訊必填
{0} {1}: Cost Center {2} does not belong to Company {3},{0} {1}：成本中心{2}不屬於公司{3}
{0} {1}: Cost Center is mandatory for Item {2},{0} {1}：成本中心是物料{2}的必須項
{0} {1}: Cost Center is required for 'Profit and Loss' account {2}. Please set up a default Cost Center for the Company.,{0} {1}：損益類科目分錄中成本中心資訊必填{2}。請為公司設定一個默認成本中心。
{0} {1}: Submitted Record cannot be deleted.,{0} {1}：提交記錄不能被刪除。
To {0} | {1} {2},{0} | {1} {2}
{0} is not a valid Email Address,{0} 不是有效的信箱地址
{0} from {1} to {2},{0} 從 {1} 變更為 {2}
{0} Dashboard,{0} 資料面板
{0} m,{0} 分
{0}m,{0} 分
{0} d,{0} 天
{0}d,{0} 天
{0} w,{0} 周
{0}w,{0} 周
{0}h,{0} 小時
{0}	h,{0} 小時
{0} hours ago,{0} 小時前
{0} has been successfully added to the Email Group.,{0} 已經被成功的加入到郵件組之中。
{0} added,{0} 成功新增
{0} M,{0} 月
{0}M,{0} 月
Insufficient Permission for {0},{0} 權限不足
{0} by {1},{0} 來自於 {1}
{0} Tree,{0} 樹
{0} logged out: {1},{0} 登出: {1}
{0} rows for {1},{0} 行 {1}
{0} Feedback Request,{0} 請求回饋
{0} Budget for Account {1} against {2} {3} is {4}. It will exceed by {5},{0} 帳戶{1}對於{2}{3}的預算是{4}. 預期增加{5}
{0}: Cannot set import as {1} is not importable,{0} ：{1}無法匯入所以不能設定“匯入”
{0}: No basic permissions set,{0} ：基本權限未設定
{0}: Permission at level 0 must be set before higher levels are set,{0} ：更高級別的權限設定前請先設定0級權限
{0}: Cannot set Import without Create,{0} ：沒有“創建”的情況下不能分派“匯入”
{0}: Cannot set Amend without Cancel,{0} ：沒有“取消”的情況下不能設定“修訂”
{0}: Cannot set Assign Amend if not Submittable,{0} ：沒有“提交”的情況下不能分派“修訂”
{0}: Cannot set Cancel without Submit,{0} ：沒有“提交”的情況下不能分派“取消”
{0}: Cannot set Assign Submit if not Submittable,{0} ：沒有“提交”的情況下不能分派“提交”
"{0}: Cannot set Submit, Cancel, Amend without Write",{0} ：沒有寫入的情況下不能設定“提交”，“取消”，“修訂”
{0} '{1}' not in Fiscal Year {2},{0}“ {1}”不屬於{2}財年
{0} '{1}' is disabled,{0}“{1}”已禁用
{0} not allowed to be renamed,{0}不允許改名
{0} against Purchase Order {1},{0}不允許採購訂單{1}
{0} against Sales Invoice {1},{0}不允許銷售發票{1}
{0} against Sales Order {1},{0}不允許銷售訂單{1}
{0} is not in a valid Payroll Period,{0}不在有效的工資核算期間
{0} is not in Optional Holiday List,{0}不在選休假假期表中
{0} does not exist in row {1},{0}不存在於第{1}行中
{0} does not belong to Company {1},{0}不屬於公司{1}
{0} is not a stock Item,{0}不是庫存物料
{0} is not a raw printing format.,{0}不是原生列印命令格式。
{0} not a valid State,{0}不是有效狀態
{0} is not a valid Workflow State. Please update your Workflow and try again.,{0}不是有效的工作流狀態。請更新您的工作流，然後重試。
{0} is not a valid Batch Number for Item {1},{0}不是物料{1}的有效批號
{0} can not be negative,{0}不能為負
Value for {0} cannot be a list,{0}不能是列表值
Field type cannot be changed for {0},{0}不能更改欄位類型
{0} cannot be set for Single types,{0}不能設定為單例類型
{0} months ago,{0}個月前
No records present in {0},{0}中沒有記錄
{0} payment entries can not be filtered by {1},{0}收付款憑證不能由{1}過濾
{0} criticized your work on {1} with {2} points,{0}以{2}分批評你在{1}上的工作
{0} criticized your work on {1} with {2} point,{0}以{2}點批評了您在{1}上的工作
{0} Dashboard,{0}資料面板
{0} on Leave on {1},{0}休假日期{1}
{0} to stop receiving emails of this type,{0}停止接收此類郵件
Assignment closed by {0},{0}關閉了待辦
{0} un-shared this document with {1},{0}關閉了此單據對{1}的分享
{0} self assigned this task: {1},{0}分派了待辦給自己：{1}
{0} minutes ago,{0}分鐘前
{0} minutes ago,{0}分鐘前
{0} List,{0}列表
{0} created this {1},{0} 創建了 {1}
{0} to {1},{0}到{1}
{0} parameter is invalid,{0}參數無效
{0} must appear only once,{0}只能出現一次
{0} available out of {1},{0}可用於{1}
{0} Number {1} already used in account {2},{0}號碼{1}已經在帳號{2}中使用
merged {0} into {1},{0}合併為{1}
{0} Name,{0}單據號(名稱)
{0} shared this document with {1},{0}向{1}分享了此單據
{0} weeks ago,{0}周前
{0} and {1},{0}和{1}
There is no leave period in between {0} and {1},{0}和{1}之間沒有休假期限
Overlap in scoring between {0} and {1},{0}和{1}之間的得分重疊
Liked by {0},{0}喜歡
{0} Chart,{0}圖表
{0} reverted your point on {1},{0}在{1}上撤銷了你的能量點
{0} mentioned you in a comment in {1},{0}在留言中提到你{1}
{0} mentioned you in a comment,{0}在評論中提到你
{0} must be negative in return document,{0}在退貨憑證中必須為負
{0} days ago,{0}天前
"{0} field cannot be set as unique in {1}, as there are non-unique existing values",{0}欄位不能在{1}中設定為唯一，因為這裡存在非唯一的數值
{0} field is limited to size {1},{0}欄位的大小限制為{1}
{0} Students have been enrolled,{0}學生已註冊
{0} criticism point for {1} {2},{0}對{1} {2}的批評點
{0} criticism points for {1} {2},{0}對{1} {2}的批評點
{0} against Bill {1} dated {2},{0}對日期為{2}的發票{1}
{0} shared this document with everyone,{0}將本單據分享給了所有人
{0} hours,{0}小時
{0} hours ago,{0}小時前
{0} has already assigned default value for {1}.,{0}已為{1}分派了預設值。
{0} is saved,{0}已保存
{0} assigned {1}: {2},{0}已分派{1}：{2}
{0} already allocated for Employee {1} for period {2} to {3},{0}已分配給員工{1}的時期{2}到{3}
{0} created,{0}已創建
{0} Published,{0}已發布
{0} already exists. Select another name,{0}已存在。選擇其他名稱
{0} changed {1} to {2},{0}已將{1}更改為{2}
{0} saved successfully,{0}已成功保存
{0} created successfully,{0}已成功創建
{0} has been submitted successfully,{0}已成功提交
{0} reverted {1},{0}已撤銷{1}
{0} updated,{0}已更新
{0} already has a Parent Procedure {1}.,{0}已有父程序{1}。
{0} logged in,{0}已登錄
{0} has left the conversation in {1} {2},{0}已經離開對話{1} {2}
{0} already unsubscribed,{0}已經退訂
{0} already unsubscribed for {1} {2},{0}已經退訂了{1} {2}
{0} should be a value between 0 and 100,{0}應該是0到100之間的一個值
"{0} must begin and end with a letter and can only contain letters,				hyphen or underscore.",{0}必須以字母開頭和結尾，並且只能包含字母，連字號或下劃線。
{0} must be submitted,{0}必須先提交
{0} must be after {1},{0}必須在{1}之後
{0} must be one of {1},{0}必須屬於{1}
{0} must be unique,{0}必須是唯一的
{0} must be set first,{0}必須首先設定
{0} or {1},{0}或{1}
{0} criticized on {1},{0}批評{1}
{0} criticized {1},{0}批評{1}
{0} Report,{0}報表
Qty for {0},{0} 數量
{0} subscribers added,{0}新增用戶
Invalid {0}! The check digit validation has failed. ,{0}無效！校驗位驗證失敗。
{0} Calendar,{0}日曆
{0} is mandatory for Item {1},{0}是{1}的必填項
{0} is an invalid email address in 'Recipients',{0}是“收件人”中的無效電子郵件地址
"Item {0} is a template, please select one of its variants",{0}是一個模板物料，請選擇具體的實物粒號
{0} is a company holiday,{0}是公司假期
{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2},{0}是強制性的。可能沒有為{1}到{2}創建貨幣兌換記錄
{0} is a mandatory field,{0}是必填欄位
{0} is mandatory,{0}是必填項
{0} is required,{0}是必填項
{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2}.,{0}是必填項。{1}和{2}的貨幣轉換記錄可能還未生成。
"{0} is mandatory for generating remittance payments, set the field and try again",{0}是生成匯款付款的必填項，請設定該欄位並重試
{0} has fee validity till {1},{0}有效期至{1}
{0} not found,{0}未找到
{0} is not the default supplier for any items.,{0}未被設定為任一物料的的默認供應商。
Invalid {0} condition,{0}條件無效
{0} comments,{0}條評論
{0} Modules,{0}模組
{0} are currently viewing this document,{0}正在查看該單據
{0} is currently viewing this document,{0}正在查看該單據
{0} does not have a Healthcare Practitioner Schedule. Add it in Healthcare Practitioner master,{0}沒有醫生時間表。將其新增到Healthcare Practitioner master中
{0} Settings not found,{0}沒有找到設定
Missing Currency Exchange Rates for {0},{0}沒有貨幣匯率
{0} appreciated on {1},{0}按讚{1}
{0} items produced,{0}物料已完工
{0} items in progress,{0}物料生產中
{0} is now default print format for {1} doctype,{0}現在是{1}類型的默認列印格式
{0} Student Groups created.,{0}班級已創建
{0} appreciated your work on {1} with {2} points,{0}用{2}能量點按讚了您在{1}上的工作
{0} Request for {1},{0}申請{1}
" {0} Retain Sample is based on batch, please check Has Batch No to retain sample of item",{0}留樣基於批號，請檢查物料主資料是否設定 啟用批號管理
Name of {0} cannot be {1},{0}的名稱不能為{1}
Work Summary for {0},{0}的工作摘要
Sum of {0},{0}的總和
Slots for {0} are not added to the schedule,{0}的時間段未新增到計劃中
Max exemption amount for {0} is {1},{0}的最大免除金額為{1}
Maximum benefit amount of component {0} exceeds {1},{0}的最大福利金額超過{1}
Incoming call from {0},{0}的來電
Daily Project Summary for {0},{0}的每日專案摘要
Birthday Reminder for {0},{0}的生日提醒
Account Type for {0} must be {1},{0}的科目類型必須為{1}
Project Summary for {0},{0}的專案摘要
"{0} currently has a {1} Supplier Scorecard standing, and RFQs to this supplier should be issued with caution.",{0}當前的供應商記分卡評級為{1}，請謹慎向該供應商詢價。
"{0} currently has a {1} Supplier Scorecard standing, and Purchase Orders to this supplier should be issued with caution.",{0} 當前的供應商記分卡評級為{1}，請謹慎下單給該供應商。
{0} seconds ago,{0}秒鐘前
Hotel Rooms of type {0} are unavailable on {1},{0}類型的酒店客房不適用於{1}
{0} Result submittted,{0}結果提交
{0} Digest,{0}統計資訊
{0} edited this {1},{0}編輯了{1}
{0} room must have atmost one user.,{0}聊天室必須至少有一個用戶。
"{0} indicates that {1} will not provide a quotation, but all items \					have been quoted. Updating the RFQ quote status.",{0}表示{1}不會提供報價，但所有物料都已報價。更新詢價狀態。
{0} is on hold till {1},{0}被臨時凍結至{1}
{0} is blocked so this transaction cannot proceed,{0}被臨時凍結，所以此交易無法繼續
{0} record deleted,{0}記錄已刪除
{0} asset cannot be transferred,{0}資產不得轉移
{0} entered twice in Item Tax,{0}輸入了兩次稅項
"Schedules for {0} overlaps, do you want to proceed after skiping overlaped slots ?",{0}重疊的工時表，是否要在滑動重疊的插槽後繼續？
Reference No & Reference Date is required for {0},{0}需要參考單據號與參考日期
Illegal Document Status for {0},{0}非法單據狀態
{0}% Delivered,{0}％已出庫
{0}% Complete,{0}％已完成
{0}% Billed,{0}％已開票
{0} ({1}) cannot be greater than planned quantity ({2}) in Work Order {3},{0}（{1}）不能大於生產工單{3}中的計劃數量（{2}）
"On {0}, {1} wrote:",{0}，{1}寫道：
"For {0}, only credit accounts can be linked against another debit entry",{0}，借方科目的對銷分錄只能是貸方科目
"{0}, Row {1}",{0}，第{1}行
{0}: {1} does not exists,{0}：{1}不存在
{0}: {1} in {2},{0}：{1}在{2}
{0}: {1} not found in Invoice Details table,{0}：{1}在發票資訊表中無法找到
{0}: {1} must be less than {2},{0}：{1}必須小於{2}
{0}: {1} is set to state {2},{0}：{1} 狀態已變更為 {2}
{0}: Fieldtype {1} for {2} cannot be unique,{0}：{2}的欄位類型{1}不能是唯一的
"{0}: '{1}' ({3}) will get truncated, as max characters allowed is {2}",{0}：“{1}”（{3}）將被截斷，因最大允許字元數為{2}
"{0}: Only one rule allowed with the same Role, Level and {1}",{0}：具有相同的角色，級別和允許只有一個規則{1}
{0}: Field '{1}' cannot be set as Unique as it has non-unique values,{0}：欄位“{1}”無法設定為“唯一”，因為它具有非唯一值
{0}: Fieldname {1} appears multiple times in rows {2},{0}：欄位名{1}在行{2}中多次出現
{0}:Fieldtype {1} for {2} cannot be indexed,{0}：無法為{2}的欄位類型{1}生成索引
"{0}: Employee email not found, hence email not sent",{0}：未設定員工電子信箱，未發電子郵件通知
{0}: From {1},{0}：來自{1}
{0}: From {0} of type {1},{0}：申請者{0} 休假類型{1}
{0}: Field {1} of type {2} cannot be mandatory,{0}：類型{2}的欄位{1}不能是必需的
{0}: Field {1} in row {2} cannot be hidden and mandatory without default,{0}：行{2}中的欄位{1}無法隱藏，並且在沒有默認情況下是必需的
{0}: Options required for Link or Table type field {1} in row {2},{0}：請為第{2}行中的連結或表類型欄位{1}維護選項資訊
{0}: Options {1} must be the same as doctype name {2} for the field {3},{0}：選項{1}必須與欄位{3}的單據類型名稱{2}相同
{0}: Options must be a valid DocType for field {1} in row {2},{0}：選項必須是行{2}中欄位{1}的有效DocType
Healthcare Practitioner {0} not available on {1},{1}上沒有醫療從業者{0}
A {0} exists between {1} and {2} (,{1}和{2}之間存在{0}（
Quarter {0} {1},{1} {0}季度
Week {0} {1},{1} 第{0}周
Employee {0} of grade {1} have no default leave policy,{1}職級員工{0}沒有默認休假政策
{0} in row {1},{1}行中的{0}
Row {0}: {1} Serial numbers required for Item {2}. You have provided {3}.,{1}請為第{0}行的物料{2}指定序號。你已經提供{3}。
{app_title},{app_title}
Direct room with {other} already exists.,{other}的直接客房已經存在。
{type} room must have atmost one user.,{type}空間必須有至多一個用戶。
{mmm} {yyyy},{yyyy} {mmm} 
{{{0}}} is not a valid fieldname pattern. It should be {{field_name}}.,{{{0}}}是不是一個有效的欄位名模式。它應該是{{FIELD_NAME}}。
{} of {},{} {}
{} is an invalid Attendance Status.,{}是無效的出勤狀態。
{} is required to generate e-Way Bill JSON,{}需要生成e-Way Bill JSON
N,ñ
'Days Since Last Order' must be greater than or equal to zero,“ 最後的訂單到目前的天數”必須大於或等於零
The 'From Package No.' field must neither be empty nor it's value less than 1.,“From Package No.”欄位不能為空，也不能小於1。
"Invalid ""depends_on"" expression",“depends_on”表達式無效
"""Parent"" signifies the parent table in which this row must be added",“parent”表示本條紀錄必須依賴新增的父表
"""Company History""",“公司歷史”
'Entries' cannot be empty,“分錄”不能為空
Default for 'Check' type of field must be either '0' or '1',“勾選”欄位類型的預設值必須是'0'或'1'
"""Team Members"" or ""Management""",“團隊成員”或“管理”
'Actual Start Date' can not be greater than 'Actual End Date',“實際開始日期”不能大於“實際結束日期'
"""Customer Provided Item"" cannot be Purchase Item also",“受託加工材料”不能設定為允許採購
"""Customer Provided Item"" cannot have Valuation Rate",“受託加工材料”不允許有成本價
'From Date' must be after 'To Date',“開始日期”必須早於'終止日期'
'From Date' is required,“開始日期”是必需的
'Based On' and 'Group By' can not be same,“根據”和“分組依據”不能相同
Cash or Bank Account is mandatory for making payment entry,“現金”或“銀行帳戶”是付款分錄的必須項
'To Date' is required,“結束日期”必需設定
